@relation 'credit.data-weka.filters.unsupervised.attribute.Remove-R2,5-9,11-12,14'

@attribute 1 {a,b}
@attribute 3 numeric
@attribute 4 {u,y,l}
@attribute 10 {t,f}
@attribute 13 {g,s,p}
@attribute 15 numeric
@attribute 16 {+,-}

@data
b,0,u,t,g,0,+
a,4.46,u,t,g,560,+
a,0.5,u,f,g,824,+
b,1.54,u,t,g,3,+
b,5.625,u,f,s,0,+
b,4,u,f,g,0,+
b,1.04,u,f,g,31285,+
a,11.585,u,f,g,1349,+
b,0.5,y,f,g,314,+
b,4.915,y,f,g,1442,+
b,0.83,u,f,g,0,+
b,1.835,u,f,g,200,+
a,6,u,f,g,0,+
b,6.04,u,f,g,2690,+
a,10.5,u,t,g,0,+
b,4.415,y,t,g,0,+
b,0.875,u,t,g,0,+
a,5.875,u,t,g,245,+
b,0.25,u,f,g,0,+
a,8.585,u,t,g,0,+
b,11.25,u,t,g,1208,+
b,1,u,f,s,0,+
a,8,u,t,g,1260,+
a,14.5,u,t,g,11,+
a,6.5,u,t,g,0,+
a,0.585,u,t,g,0,+
a,13,u,t,g,0,+
b,18.5,u,t,g,0,+
b,8.5,u,t,g,0,+
b,1.04,u,t,g,10000,+
b,14.79,u,t,g,0,+
b,9.79,u,t,g,0,+
b,7.585,u,t,g,5000,+
a,5.125,u,f,g,4000,+
a,10.75,u,t,g,560,+
b,1.5,u,t,g,35,+
b,1.585,u,t,g,713,+
a,11.75,u,t,g,551,+
b,0.585,y,t,g,500,+
b,9.415,u,t,g,300,+
b,9.17,u,t,g,221,+
b,15,u,t,g,2283,+
b,1.415,u,t,g,100,+
b,13.915,u,t,g,0,+
b,28,y,t,g,15,+
b,6.75,u,t,g,284,+
a,2.04,y,t,g,1236,+
b,4.46,u,t,g,300,+
b,1.54,u,f,g,0,+
b,0.665,u,f,g,0,+
a,0.5,u,f,g,0,+
b,1,u,f,g,0,+
b,2.04,u,f,g,5800,+
b,2.5,u,f,g,200,+
b,3,u,f,g,0,+
b,11.625,y,f,g,300,+
b,0,u,f,g,0,+
b,0.5,u,f,g,0,+
b,4.5,u,f,s,0,+
b,3,u,t,g,0,+
b,12.25,u,t,g,0,+
b,16.165,u,t,g,730,+
a,0.79,y,t,g,400,+
a,0.835,u,t,g,0,+
b,4.25,u,t,g,0,+
b,1.54,u,t,g,50000,+
a,1,u,t,g,456,+
b,0.375,u,t,g,15108,+
b,6.5,u,t,g,2954,+
b,25.125,u,t,g,500,+
b,7.5,u,f,s,0,-
b,4,u,f,g,0,-
a,5,u,f,g,0,-
b,0.5,u,f,s,0,-
b,7,y,f,g,2,-
b,5.29,u,t,g,0,-
b,6.5,u,f,g,0,-
a,0.585,y,f,g,0,-
b,1.165,y,t,g,20,-
b,9.75,u,f,g,0,-
b,19,u,t,g,0,-
a,1.5,u,f,s,0,-
b,0.5,u,f,s,0,-
a,3.5,u,f,g,0,-
b,0.625,u,f,g,0,-
b,4,u,f,s,0,-
b,0.375,u,f,s,0,-
b,2.21,y,f,g,0,-
b,4.5,u,f,g,0,-
a,1.5,u,f,g,27,-
b,12.75,y,f,g,0,-
b,15.5,u,f,g,0,-
b,5,y,f,g,0,-
b,1.375,y,f,g,100,-
b,1.5,y,f,g,225,-
a,3.54,u,f,g,0,-
b,0.625,y,f,g,1,-
b,0.5,u,f,s,0,-
a,11,y,f,g,0,-
a,1,u,t,g,500,-
b,1.75,y,f,g,400,-
b,16.5,y,f,g,0,-
b,5,u,t,g,38,-
b,12,u,t,g,5,-
b,4,y,t,g,0,-
b,15.5,u,t,g,130,-
b,1.165,u,f,s,0,-
a,11,y,f,g,0,-
b,2.25,y,f,g,0,-
a,0.75,u,t,g,5,-
b,3.5,u,t,g,0,-
a,1.04,y,t,g,147,-
b,12.5,u,f,g,0,-
a,0.75,u,t,g,0,-
b,1.25,y,t,g,210,-
a,1.125,u,t,g,0,-
b,7,u,t,g,5,-
b,6.5,u,t,g,11202,+
b,7.04,u,t,g,1332,+
a,10.335,u,t,g,50,+
b,6.21,u,t,g,300,+
b,12.5,u,t,g,258,+
a,12.5,u,t,g,567,+
a,6.665,u,t,g,0,+
a,9,u,t,g,0,+
b,5,u,t,g,1000,+
b,2.5,u,t,g,2510,+
b,11,u,t,g,809,+
b,4.25,u,t,g,610,+
a,3.5,u,f,s,0,+
b,5.5,u,t,g,0,+
b,1.835,u,t,g,150,+
a,8,u,t,g,51100,+
b,5,u,t,g,367,+
b,5.5,u,t,g,1000,+
b,6.5,u,f,g,0,+
b,0.54,y,t,g,1000,+
b,2.75,u,t,g,0,+
a,9.5,u,t,g,600,+
a,13.5,u,t,g,5000,+
a,3.75,u,t,g,0,+
a,16,u,t,g,247,+
b,0.29,y,t,g,375,+
b,11,u,t,g,278,+
b,1.665,u,t,g,827,+
b,2.5,u,t,g,2072,+
b,1.5,u,t,g,582,+
a,7.54,y,t,g,2300,+
a,6.5,u,t,g,3065,+
a,15,u,t,g,2200,+
a,0.46,u,t,g,6,+
a,10,u,t,g,1602,+
b,6.5,u,t,g,0,+
b,2.5,u,t,g,2184,+
b,1.5,u,t,g,0,+
a,11.5,y,t,g,0,+
a,3.04,y,t,g,0,+
a,15,u,t,g,3376,+
b,2,u,t,g,0,+
b,0.08,y,t,g,2000,+
b,2,u,t,g,7544,+
b,2,u,t,g,15,+
b,1.71,u,t,g,20,+
b,1.75,y,f,g,0,+
a,16.5,u,f,g,10561,+
a,10,u,f,g,837,+
b,9.5,u,f,g,400,+
a,0.54,u,f,g,11177,+
b,3.25,u,f,g,639,+
b,1.125,y,f,g,0,+
a,2.54,y,f,g,0,+
b,0,u,f,g,0,+
b,12.5,u,f,g,2028,+
a,13.585,u,f,g,0,+
b,10.5,u,f,g,0,+
b,1.5,y,f,g,1065,+
b,12.5,u,f,s,0,+
a,8.665,u,f,g,150,+
a,9.25,u,t,g,540,+
b,8.17,u,t,g,158,+
b,0.29,u,t,g,15000,+
a,2.335,u,t,s,0,+
a,3,u,t,g,6,+
a,19.5,u,t,g,3000,+
a,5.665,u,t,g,3257,+
b,8.5,u,t,g,1655,+
b,6.5,u,t,g,500,+
b,5,u,t,g,3065,+
a,1.04,u,t,g,1430,+
a,4.625,u,t,g,0,+
b,10.5,u,f,g,0,+
b,0.205,u,f,g,0,+
b,0.96,u,f,g,600,+
b,1.585,y,t,g,0,+
b,4.04,y,t,g,0,+
b,5.04,y,t,g,7,+
b,3.165,y,t,g,0,+
b,7.625,u,t,g,790,+
b,2.04,y,t,g,560,+
b,10.04,u,t,g,396,+
a,0.5,u,t,g,678,+
a,1,u,f,g,300,+
b,2.75,u,t,g,600,+
a,10.25,u,t,g,0,+
b,2.125,y,t,g,1187,+
a,12,u,t,g,6590,+
a,0,?,f,p,0,+
b,9.335,u,t,g,168,+
b,2.5,u,t,g,1270,+
b,4.25,u,t,g,1210,+
b,5.875,u,t,g,0,+
b,6.625,y,f,s,0,+
b,14.5,u,t,g,1000,+
